OID_,Value,Count,bps,evt,evh_reclass,evc_reclass,BPS_MODEL,EVT_LF,EVT_PHYS,EVT_SBCLS,Leaf_Form,HT_Class,Lifeform,CanCover,SClass,LandType,LABEL
1,1,38989.000000000000000,1883,7303,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
2,2,41443.000000000000000,1883,7303,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
3,3,75741.000000000000000,1883,7321,43,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Mixed Hardwood-Toeslope (ELTP),B
4,4,43343.000000000000000,1883,7321,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
5,5,47009.000000000000000,1874,7321,43,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
6,6,6223.000000000000000,1888,7303,43,8,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Small Stream Riparian (ELTP),B
7,7,13755.000000000000000,1888,7321,43,8,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Small Stream Riparian (ELTP),B
8,8,22424.000000000000000,1874,7303,43,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
9,9,14663.000000000000000,1874,7303,43,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
10,10,4170.000000000000000,1888,7511,43,8,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Small Stream Riparian (ELTP),B
11,11,5168.000000000000000,1888,7303,43,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Small Stream Riparian (ELTP),B
12,12,5668.000000000000000,1874,7303,44,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
13,13,41069.000000000000000,1874,7321,43,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
14,14,16089.000000000000000,1888,7321,43,9,14720_61_62_63,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,2,RB Small Stream Riparian (ELTP),B
15,15,6521.000000000000000,1874,7303,43,7,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,4,RB Mixed Hardwood-Toeslope (ELTP),D
16,16,5892.000000000000000,1874,7318,43,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
17,17,3160.000000000000000,1883,7556,43,8,13700_53_61_62,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
18,18,2272.000000000000000,1874,7556,43,8,13180_57_59_61,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
19,19,4962.000000000000000,1874,7511,43,8,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,5,RB Mixed Hardwood-Toeslope (ELTP),E
20,20,1983.000000000000000,1883,7556,43,7,13700_53_61_62,Tree,Hardwood,Mixed evergreen-deciduous open tree canopy,brdlf,10-25,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
21,21,2780.000000000000000,1874,9315,43,8,13180_57_59_61,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,70-79,7,RB Mixed Hardwood-Toeslope (ELTP),UE
22,22,2241.000000000000000,1874,9315,43,9,13180_57_59_61,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,80-89,7,RB Mixed Hardwood-Toeslope (ELTP),UE
23,23,10238.000000000000000,1883,7303,43,7,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,60-69,3,RB Mixed Hardwood-Toeslope (ELTP),C
24,24,38367.000000000000000,1883,7511,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
25,25,10783.000000000000000,1883,9315,43,8,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,70-79,7,RB Mixed Hardwood-Toeslope (ELTP),UE
26,26,8362.000000000000000,1883,9315,43,9,13700_53_61_62,Tree,Conifer-Hardwood,Mixed evergreen-deciduous open tree canopy,mix,10-25,Tree,80-89,7,RB Mixed Hardwood-Toeslope (ELTP),UE
27,27,10927.000000000000000,1883,7321,44,9,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,4,RB Mixed Hardwood-Toeslope (ELTP),D
28,28,13490.000000000000000,1874,7321,44,9,13180_57_59_61,Tree,Hardwood,Deciduous closed tree canopy,brdlf,25-50,Tree,80-89,5,RB Mixed Hardwood-Toeslope (ELTP),E
29,29,7876.000000000000000,1883,7320,43,8,13700_53_61_62,Tree,Hardwood,Deciduous closed tree canopy,brdlf,10-25,Tree,70-79,2,RB Mixed Hardwood-Toeslope (ELTP),B
